Group,Load,Scenario,"Mean (€/MWh, vol-weighted)",Std Dev (€/MWh)
N,LLPS,LLPS_N,52.71721,73.42198
N,BA,BA_N,46.541424,58.35874
OWN,LLPS,LLPS_OWN,53.074738,75.32453
OWN,BA,BA_OWN,46.230743,58.50003
OW,LLPS,LLPS_OW,59.64483,100.854805
OW,BA,BA_OW,50.945145,78.932785
BASELINE,-,BASELINE,46.26052,47.35938
