Area,BASELINE,BA_N,BA_OW,BA_OWN,LLPS_N,LLPS_OW,LLPS_OWN
NO1,0.0,0.598552,1.0003251,1.1128594,1.0519588,1.3552018,1.5541778
NO2,0.0,3.9187312,17.520435,7.1927166,4.7758613,17.315586,7.428988
NO3,0.0,-6.7134404,-8.226921,-6.874066,-6.225706,-7.3373175,-6.317702
NO4,0.0,-6.2729545,-6.906122,-5.651069,-4.7732253,-6.037989,-4.812244
NO5,0.0,2.0240023,0.7780586,1.8120477,2.1282914,1.2164965,1.8775333
TOTAL,0.0,-0.39584994,1.2271167,0.3812784,0.22870104,1.6248722,0.8454477
