Area,BASELINE,BA_N,BA_OW,BA_OWN,LLPS_N,LLPS_OW,LLPS_OWN
NO1,0.0,14.034668,23.455322,26.093994,24.666016,31.776367,36.441895
NO2,0.0,16.711761,74.71738,30.67395,20.367065,73.84378,31.68155
NO3,0.0,-18.711609,-22.929962,-19.159302,-17.352203,-20.45047,-17.608612
NO4,0.0,-28.760315,-31.663269,-25.909088,-21.884338,-27.683044,-22.063232
NO5,0.0,2.3733902,0.9123688,2.1248474,2.4956818,1.4264908,2.2016373
TOTAL,0.0,-14.352295,44.491455,13.823975,8.291992,58.91284,30.65332
