Area,BASELINE,BA_N,BA_OW,BA_OWN,LLPS_N,LLPS_OW,LLPS_OWN
NO1,2344.77,2358.8047,2368.2253,2370.864,2369.436,2376.5464,2381.212
NO2,426.45847,443.17023,501.17584,457.13242,446.82553,500.30225,458.14
NO3,278.71863,260.00702,255.78867,259.55933,261.36642,258.26816,261.11002
NO4,458.48117,429.72086,426.8179,432.57208,436.59683,430.79813,436.41794
NO5,117.26222,119.63561,118.17459,119.38707,119.757904,118.68871,119.46386
TOTAL,3625.6907,3611.3384,3670.1821,3639.5146,3633.9827,3684.6035,3656.344
