scenario,area,technology,generation_gwh,curtailed_gwh,revenue_meur,opex_meur,net_revenue_meur,capacity_factor,value_factor,revenue_per_mwh,breakeven_capex_eur_per_kw,construction_years,gross_generation_gwh,generation_twh
OWN-BA,NO4,Nuclear,0.0,-77.05057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
OWN-BA,NO5,Nuclear,0.0,-121.61999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,0.0
OWN-BA,SNII,Offshore Wind,6985.039,-145.29984,331.10425,169.03795,162.0663,0.5592412352561951,0.98061514,47.40191650390625,1345.958984375,4,6839.7392578125,6.985039
OWN-BA,UN,Offshore Wind,2230.6882,-44.757,105.207146,53.982655,51.22449,0.5004425048828125,0.97494954,47.163536071777344,1191.1729736328125,4,2185.93115234375,2.2306883
OW-BA,SNII,Offshore Wind,15130.165,-473.5782,647.88043,366.15002,281.7304,0.5592412948608398,0.9440416,42.8204460144043,1091.8917236328125,4,14656.5869140625,15.130165
OW-BA,UN,Offshore Wind,2251.248,-65.316864,96.606995,54.480206,42.12679,0.5004425048828125,0.9438467,42.91263961791992,979.615234375,4,2185.93115234375,2.2512481
OW-BA,VVD,Offshore Wind,6241.205,-247.07382,265.05838,151.03717,114.02121,0.4574282169342041,0.86816776,42.46910095214844,883.8160400390625,4,5994.13134765625,6.241205
SMR300-BA,NO1,Nuclear,2291.6636,-3.979064,165.60977,60.499916,105.109856,0.8744137287139893,1.0723947,72.26617431640625,5210.76513671875,5,,2.2916636
SMR300-BA,NO2,Nuclear,2285.5337,-112.331795,164.53398,60.338093,104.19589,0.8720749020576477,1.0509281,71.98930358886719,5165.45556640625,5,,2.2855337
SMR300-BA,NO3,Nuclear,2224.2974,-42.915623,135.43494,58.721447,76.713486,0.8487092852592468,1.1201925,60.88886260986328,3803.030029296875,5,,2.2242973
SMR300-BA,NO4,Nuclear,2199.586,-67.623245,48.293785,58.06907,-9.775284,0.839280366897583,1.0864412,21.955852508544922,-484.6045227050781,5,,2.199586
SMR300-BA,NO5,Nuclear,2287.3064,-38.429188,163.61707,60.38489,103.23218,0.8727512359619141,1.0744234,71.53263854980469,5117.6796875,5,,2.2873063
SMR300-LLPS,NO1,Nuclear,2271.0476,-8.365187,183.96269,59.95565,124.00704,0.8665474653244019,1.0934688,81.00344848632812,6147.5830078125,5,,2.2710476
SMR300-LLPS,NO2,Nuclear,2274.2583,-155.63745,166.80592,60.040417,106.7655,0.8677725195884705,1.0587337,73.34519958496094,5292.8427734375,5,,2.2742584
SMR300-LLPS,NO3,Nuclear,2180.7712,-81.76589,170.37164,57.57236,112.799286,0.8321013450622559,1.1567733,78.1244888305664,5591.96435546875,5,,2.1807714
SMR300-LLPS,NO4,Nuclear,2155.2302,-116.845665,50.971428,56.898075,-5.926647,0.8223558068275452,1.1175882,23.650108337402344,-293.8103332519531,5,,2.1552303
SMR300-LLPS,NO5,Nuclear,2263.6018,-67.436646,182.04692,59.759083,122.28784,0.8637064695358276,1.0968463,80.4235610961914,6062.35498046875,5,,2.2636018
SMR600-BA,NO1,Nuclear,4562.9204,-4.014652,281.37234,120.4611,160.91125,0.8705205321311951,1.081125,61.66497039794922,3988.5439453125,5,,4.5629206
SMR600-BA,NO2,Nuclear,4559.738,-97.63199,302.33804,120.37708,181.96097,0.8699134588241577,1.054365,66.30601501464844,4510.30908203125,5,,4.5597377
SMR600-BA,NO3,Nuclear,4304.706,-53.04054,171.51326,113.64424,57.86902,0.821258008480072,1.1496171,39.84320068359375,1434.4127197265625,5,,4.304706
SMR600-BA,NO4,Nuclear,4185.155,-115.227356,60.462826,110.48808,-50.025257,0.7984499335289001,1.1014735,14.446974754333496,-1239.9879150390625,5,,4.185155
SMR600-BA,NO5,Nuclear,4537.752,-44.334305,275.10065,119.796646,155.304,0.8657189011573792,1.086265,60.6248779296875,3849.55615234375,5,,4.537752
SMR600-LLPS,NO1,Nuclear,4516.037,-8.113923,301.1969,119.22337,181.97353,0.8615760207176208,1.0998672,66.69496154785156,4510.6201171875,5,,4.516037
SMR600-LLPS,NO2,Nuclear,4535.1416,-138.7888,306.15207,119.72774,186.42433,0.865220844745636,1.0615505,67.5066146850586,4620.943359375,5,,4.5351415
SMR600-LLPS,NO3,Nuclear,4220.893,-99.72893,224.04372,111.43158,112.61214,0.8052679896354675,1.1884166,53.07969665527344,2791.343017578125,5,,4.220893
SMR600-LLPS,NO4,Nuclear,4095.4119,-168.34131,62.20779,108.11887,-45.911083,0.781328558921814,1.1292211,15.189629554748535,-1138.0086669921875,5,,4.095412
SMR600-LLPS,NO5,Nuclear,4475.3076,-72.82095,294.86966,118.14812,176.72154,0.853805661201477,1.1090213,65.88813018798828,4380.43798828125,5,,4.4753075
SMR900-BA,NO1,Nuclear,6795.7056,-3.7145302,331.9174,179.40663,152.51076,0.8643296957015991,1.0928332,48.84222412109375,2520.21337890625,5,,6.795706
SMR900-BA,NO2,Nuclear,6799.2437,-90.45412,372.54187,179.50003,193.04184,0.8647796511650085,1.0644199,54.791664123535156,3189.981689453125,5,,6.7992435
SMR900-BA,NO3,Nuclear,6088.0527,-52.32259,153.9438,160.72458,-6.780777,0.7743249535560608,1.1855942,25.286212921142578,-112.05113220214844,5,,6.0880527
SMR900-BA,NO4,Nuclear,5776.2515,-177.01167,62.593918,152.49304,-89.899124,0.7346677780151367,1.1096215,10.83642578125,-1485.5670166015625,5,,5.7762513
SMR900-BA,NO5,Nuclear,6704.481,-52.152668,319.3049,176.99829,142.30661,0.8527270555496216,1.1044886,47.62559509277344,2351.591552734375,5,,6.704481
SMR900-LLPS,NO1,Nuclear,6718.473,-8.0074005,364.30627,177.36768,186.9386,0.8545066118240356,1.1114035,54.22456359863281,3089.126953125,5,,6.718473
SMR900-LLPS,NO2,Nuclear,6768.3535,-130.31923,391.59802,178.68452,212.9135,0.8608508110046387,1.0710593,57.857208251953125,3518.357421875,5,,6.7683535
SMR900-LLPS,NO3,Nuclear,5976.431,-100.908104,212.16765,157.77777,54.389877,0.7601280212402344,1.2338344,35.50072479248047,898.7828369140625,5,,5.9764314
SMR900-LLPS,NO4,Nuclear,5615.569,-239.32944,62.14808,148.25102,-86.10294,0.7142308950424194,1.1319125,11.067102432250977,-1422.8355712890625,5,,5.6155686
SMR900-LLPS,NO5,Nuclear,6597.678,-79.92452,351.2412,174.17871,177.0625,0.8391429781913757,1.1279781,53.23709487915039,2925.926025390625,5,,6.597678
SMR1200-BA,NO1,Nuclear,8986.155,-3.6692767,309.25293,237.2345,72.01843,0.8571957349777222,1.1014354,34.41437911987305,892.5687866210938,5,,8.9861555
SMR1200-BA,NO2,Nuclear,9008.649,-90.88633,347.04944,237.82834,109.2211,0.8593414425849915,1.0758132,38.524024963378906,1353.644287109375,5,,9.00865
SMR1200-BA,NO3,Nuclear,7324.5356,-41.305363,127.76273,193.36772,-65.60499,0.6986927390098572,1.2096446,17.443117141723633,-813.0830078125,5,,7.324536
SMR1200-BA,NO4,Nuclear,6240.376,-199.64691,59.819504,164.74593,-104.92642,0.5952739715576172,1.1094011,9.585881233215332,-1300.4178466796875,5,,6.240376
SMR1200-BA,NO5,Nuclear,8764.109,-59.65569,292.3312,231.37248,60.958725,0.8360146880149841,1.1201257,33.35549545288086,755.4990234375,5,,8.76411
SMR1200-LLPS,NO1,Nuclear,8867.833,-7.9315515,354.47467,234.11078,120.36389,0.8459089398384094,1.1218115,39.973087310791016,1491.7437744140625,5,,8.867833
SMR1200-LLPS,NO2,Nuclear,8968.887,-131.06471,385.23602,236.77861,148.45741,0.855548620223999,1.0841855,42.952491760253906,1839.9241943359375,5,,8.968886
SMR1200-LLPS,NO3,Nuclear,7242.7886,-88.48962,175.8676,191.20961,-15.3420105,0.6908947825431824,1.2804576,24.28175163269043,-190.1429901123047,5,,7.242789
SMR1200-LLPS,NO4,Nuclear,6156.3784,-290.4432,60.542065,162.52838,-101.98631,0.5872613787651062,1.1371167,9.834038734436035,-1263.979248046875,5,,6.1563783
SMR1200-LLPS,NO5,Nuclear,8596.262,-94.62511,334.40738,226.94131,107.466064,0.8200036287307739,1.1473267,38.9014892578125,1331.893310546875,5,,8.596262
SMR1600-BA,NO1,Nuclear,11860.659,-3.1583862,276.0113,313.1214,-37.110107,0.8485475778579712,1.1001357,23.27115821838379,-344.9463195800781,5,,11.86066
SMR1600-BA,NO2,Nuclear,11898.7,-93.3724,303.16208,314.12567,-10.963593,0.8512691259384155,1.083158,25.47859001159668,-101.90890502929688,5,,11.8987
SMR1600-BA,NO3,Nuclear,8342.493,-25.440067,110.338,220.2418,-109.90381,0.5968472957611084,1.1915926,13.226021766662598,-1021.5791015625,5,,8.342493
SMR1600-BA,NO4,Nuclear,5605.7817,-136.9745,51.379025,147.99263,-96.6136,0.40105465054512024,1.0918419,9.165362358093262,-898.0438842773438,5,,5.6057816
SMR1600-BA,NO5,Nuclear,11368.24,-65.07499,256.72177,300.12152,-43.39975,0.8133184909820557,1.1253244,22.582366943359375,-403.4098815917969,5,,11.36824
SMR1600-LLPS,NO1,Nuclear,11692.357,-7.0435786,317.90988,308.67822,9.231659,0.8365067839622498,1.1242678,27.189544677734375,85.81021118164062,5,,11.692357
SMR1600-LLPS,NO2,Nuclear,11863.347,-131.87332,342.43304,313.19235,29.240692,0.8487399220466614,1.0948228,28.864791870117188,271.7984313964844,5,,11.863347
SMR1600-LLPS,NO3,Nuclear,8255.676,-65.86336,140.63252,217.94984,-77.31732,0.590636134147644,1.2957627,17.03464698791504,-718.680908203125,5,,8.255675
SMR1600-LLPS,NO4,Nuclear,5655.8926,-217.734,52.261597,149.31555,-97.053955,0.40463975071907043,1.119707,9.240202903747559,-902.1370849609375,5,,5.6558924
