Area,BASELINE,BA_N,BA_OW,BA_OWN,LLPS_N,LLPS_OW,LLPS_OWN
NO1,22.72301,22.841578,22.972942,22.973913,22.956347,23.066093,23.091673
NO2,6.9551377,7.235331,8.243996,7.4795036,7.3004,8.228367,7.4981623
NO3,14.610377,13.588828,13.356251,13.5646,13.668248,13.497077,13.653956
NO4,14.622424,13.57847,13.476526,13.680623,13.824783,13.619326,13.818301
NO5,11.392275,11.629937,11.475778,11.603909,11.649011,11.532519,11.617867
MEAN,14.060644,13.774829,13.905098,13.86051,13.879758,13.988676,13.935992
