plant,reservoir,area,scenario,mean_mw,max_mw,p95_mw,p99_mw,zero_fraction
alta,alta,NO4,B,76.9851769300935,172.25010681152344,155.5855712890625,167.51922607421875,0.036023351648351645
alta,alta,NO4,B+,93.59496036170883,309.7004699707031,241.1851348876953,277.7093505859375,0.05675747863247863
aura,aura,NO3,B,196.6903426245601,294.9462585449219,294.94580078125,294.9459228515625,0.17618666056166057
aura,aura,NO3,B+,202.8949887263695,770.3989868164062,742.1359252929683,761.8499755859375,0.31744887057387056
kvanndal,kvanndal,NO2,B,18.633251394955366,40.275421142578125,39.380374908447266,39.79033279418945,0.3238362332112332
kvanndal,kvanndal,NO2,B+,18.529463068124606,79.78184509277344,75.63309516906739,78.32257240295411,0.4135645604395604
mauranger,mauranger,NO5,B,120.69153221623971,258.24188232421875,253.60494995117188,257.1802673339844,0.364278083028083
mauranger,mauranger,NO5,B+,130.54163653088662,906.3690795898438,490.8271682739254,769.1347265624995,0.45727640415140414
nore_i,nore_1,NO1,B,110.02328096636053,203.5457305908203,203.37498474121094,203.48802825927734,0.14975579975579975
nore_i,nore_1,NO1,B+,126.99384126473322,406.99237060546875,371.31862335203436,406.6842041015625,0.15457875457875458
nore_ii,nore_2,NO1,B,30.070308067049396,52.21641159057617,51.9999885559082,52.0000114440918,0.0011561355311355311
nore_ii,nore_2,NO1,B+,35.39680312078699,104.0000228881836,103.99986267089844,103.99996948242188,0.0011942918192918194
novle,novle,NO2,B,25.880603810714348,40.65584945678711,40.08865737915039,40.40538024902344,0.23677884615384615
novle,novle,NO2,B+,26.64056209860517,81.1554946899414,78.88255310058594,79.83808135986328,0.3907547313797314
osbu,osbu,NO3,B,13.453154591237213,26.17490577697754,23.780826568603516,24.17112159729004,0.24506639194139193
osbu,osbu,NO3,B+,9.873505124988132,26.049968719482422,24.28986358642578,25.216426849365234,0.41261828449328447
roeldal,roeldal,NO2,B,95.51624536938965,163.22959899902344,160.0000457763672,160.70318603515625,0.20207188644688645
roeldal,roeldal,NO2,B+,98.86649198256241,321.59716796875,304.66796875,315.83380126953125,0.2796169108669109
suldal_i,suldal_1,NO2,B,122.38940923510984,183.53152465820312,183.40969848632812,183.52935791015625,0.07969703907203907
suldal_i,suldal_1,NO2,B+,126.01488972681123,367.0608215332031,360.2213134765625,364.482531738281,0.1490995115995116
suldal_ii,suldal_2,NO2,B,77.07139729700367,150.2705078125,149.65032958984375,150.26730346679688,0.026346916971916972
suldal_ii,suldal_2,NO2,B+,79.47945833831439,299.7629089355469,201.1446533203125,271.7924478149414,0.026594932844932844
svandalsflona,svandalsflon,NO2,B,4.299822515561003,19.961986541748047,18.131431579589844,19.48882484436035,0.44086920024420023
svandalsflona,svandalsflon,NO2,B+,4.285359390418676,39.79655456542969,15.899106979370117,34.76942443847656,0.4769803113553114
svean,svean,NO3,B,11.461052482326826,27.0000057220459,13.128001832960274,26.99998664855957,0.0
svean,svean,NO3,B+,11.794501077925037,36.0,14.399996757507324,35.99997329711914,0.0
