type,count_units,count_fuelcost,fuelcost_min,fuelcost_max,fuelcost_mean,fuelcost_median,unique_fuelcosts
biomass,14,14,15.0,32.0,16.214285714285715,15.0,15;32
fossil_gas,13,13,137.52,137.52,137.52,137.52,137.52
fossil_other,13,13,110.18999999999998,110.19,110.19,110.19,110.19;110.19
hydro,16,16,0.0,1.0,0.375,0.0,0;1
nuclear,8,8,9.37,9.37,9.37,9.37,9.37
ror,9,9,0.0,0.0,0.0,0.0,0
solar,17,17,0.01,0.01,0.01,0.01,0.01
wind_off,12,12,0.015,0.015,0.015,0.015,0.015
wind_on,18,18,0.015,0.015,0.015000000000000001,0.015,0.015
