Scenario,Hydro (M€),Solar (M€),Wind Onshore (M€),Wind Offshore (M€),Nuclear (M€),Biomass (M€),Fossil Gas (M€),Fossil Other (M€),Total (M€)
B+,4235.5,2.6,411.7,0.9,0.0,38.5,1.7,0.0,4691.0
N-LLPS+,4630.7,3.9,595.4,0.8,518.4,57.0,8.4,0.0,5814.5
OWN-LLPS+,4611.2,3.9,582.1,216.4,299.7,57.2,9.3,0.0,5780.0
OW-LLPS+,5103.2,4.8,608.2,459.5,0.0,66.0,24.3,0.0,6266.0
N-BA+,4140.1,3.4,531.3,0.7,470.8,48.3,4.6,0.0,5199.3
OWN-BA+,4140.8,3.5,523.7,206.4,267.7,48.8,5.1,0.0,5196.1
OW-BA+,4463.3,4.1,536.3,427.8,0.0,54.8,13.2,0.0,5499.5
