Area,BASELINE,BA_N,BA_OW,BA_OWN,LLPS_N,LLPS_OW,LLPS_OWN
NO1,23.575338,23.75644,23.67067,23.762636,23.760473,23.68516,23.789774
NO2,6.6158338,6.9131627,7.865198,7.095757,6.9211893,7.8413315,7.100217
NO3,14.746587,13.521472,13.346874,13.507324,13.56297,13.434185,13.561399
NO4,14.164497,13.36112,13.180752,13.354678,13.503744,13.284198,13.430201
NO5,11.316739,11.515009,11.408962,11.505398,11.532725,11.415428,11.506464
MEAN,14.083799,13.81344,13.894491,13.845159,13.856219,13.932062,13.877611
