Area,BASELINE,BA_N,BA_OW,BA_OWN,LLPS_N,LLPS_OW,LLPS_OWN
NO1,0.0,20.095215,9.925537,20.144043,20.062744,10.794434,22.225586
NO2,0.0,17.715088,72.71222,28.144287,18.085632,71.28143,28.36966
NO3,0.0,-22.314362,-25.498184,-22.594086,-21.65036,-23.97525,-21.667267
NO4,0.0,-22.213257,-27.279755,-22.362427,-18.167938,-24.343567,-20.241577
NO5,0.0,1.9788208,0.9916992,1.8764267,2.1002045,0.99510956,1.8372116
TOTAL,0.0,-4.7382812,30.851318,5.208252,0.43041992,34.752197,10.523926
