plant,reservoir,area,scenario,mean_mw,max_mw,p95_mw,p99_mw,zero_fraction
alta,alta,NO4,B,76.80879662147414,172.25010681152344,156.23873901367188,167.51919555664062,0.03344017094017094
alta,alta,NO4,B+,93.10350115527015,309.9721984863281,245.2729949951172,282.22393798828125,0.05039300976800977
aura,aura,NO3,B,195.49944890390674,294.9463195800781,294.94580078125,294.9459228515625,0.18120039682539682
aura,aura,NO3,B+,202.32694152339545,770.36767578125,743.7681884765625,761.5156860351562,0.31127518315018315
kvanndal,kvanndal,NO2,B,18.61541423234172,40.20405197143555,39.411415100097656,39.76582336425781,0.3144574175824176
kvanndal,kvanndal,NO2,B+,18.55038511594401,79.72886657714844,75.94976806640625,78.39967346191406,0.4061011904761905
mauranger,mauranger,NO5,B,121.03219376181647,258.24188232421875,253.5449981689453,257.352294921875,0.3614125457875458
mauranger,mauranger,NO5,B+,130.65565495148138,905.3494262695312,489.0751647949219,799.1231591796875,0.4552312271062271
nore_i,nore_1,NO1,B,109.30871448183424,203.5457305908203,203.37513732910156,203.49591384887697,0.12929258241758243
nore_i,nore_1,NO1,B+,126.63197106681952,406.99237060546875,376.94772644038534,406.68438720703125,0.14051053113553114
nore_ii,nore_2,NO1,B,29.85113354503966,52.02927017211914,51.99998474121094,52.00000762939453,0.0005723443223443224
nore_ii,nore_2,NO1,B+,35.27823734343968,104.0000228881836,103.99987030029297,103.99996948242188,0.0018925518925518926
novle,novle,NO2,B,25.90832271349059,40.697505950927734,40.09223175048828,40.40974807739258,0.23187576312576313
novle,novle,NO2,B+,26.57909148012485,81.27355194091797,78.96263122558594,79.92327117919922,0.37262286324786326
osbu,osbu,NO3,B,13.38063498309859,26.320392608642578,23.78082847595215,24.328205108642578,0.255406746031746
osbu,osbu,NO3,B+,9.95967338534996,26.065343856811523,24.224580764770508,25.16568946838379,0.40829899267399267
roeldal,roeldal,NO2,B,95.6811381566801,162.46971130371094,160.0000457763672,160.57286392211915,0.18703830891330891
roeldal,roeldal,NO2,B+,98.65598213322224,322.4505310058594,305.3138427734375,315.6176452636719,0.2572229853479853
suldal_i,suldal_1,NO2,B,122.67775529162263,183.5307159423828,183.36709594726562,183.52935791015625,0.0769192612942613
suldal_i,suldal_1,NO2,B+,125.9666519667178,367.05902099609375,360.3805236816406,364.58378356933594,0.1400946275946276
suldal_ii,suldal_2,NO2,B,77.12179114308671,150.26869201660156,149.65615844726562,150.26730346679688,0.02233287545787546
suldal_ii,suldal_2,NO2,B+,79.54829614231845,299.6454772949219,201.4269874572754,276.0310974121094,0.02332875457875458
svandalsflona,svandalsflon,NO2,B,4.290714902426856,19.93791389465332,18.146454620361265,19.482164039611806,0.430376221001221
svandalsflona,svandalsflon,NO2,B+,4.278587367731261,39.665462493896484,15.934232807159423,31.36378288269043,0.45645604395604394
svean,svean,NO3,B,11.480136090160435,27.0000057220459,12.70342545509238,26.99998664855957,0.0
svean,svean,NO3,B+,11.84785155219109,36.00001907348633,14.39999771118164,35.99997329711914,0.0
