Scenario,Series Type,Area,Area Order,Scenario Order,"No Uprate Mean (€/MWh, vol-weighted)","Uprate Mean (€/MWh, vol-weighted)",Delta Mean No Uprate - Uprate (€/MWh),No Uprate Std Dev (€/MWh),Uprate Std Dev (€/MWh),Delta Std Dev No Uprate - Uprate (€/MWh),Level Plotted,Delta Plotted
LLPS_OW,bar,NORDIC,13,3,57.1666,56.1567,1.0098991,77.29228,74.920746,2.3715363,False,False
BA_N,bar,NO,0,4,47.96259,46.008102,1.9544868,62.80055,58.382042,4.4185066,True,True
BA_N,bar,NO1,1,4,48.884792,47.612595,1.2721977,33.917168,33.05939,0.85777664,True,True
BA_N,bar,NO2,2,4,53.63089,52.332397,1.2984924,27.47861,26.878185,0.6004238,True,True
BA_N,bar,NO3,3,4,58.434044,53.21633,5.2177124,116.26321,105.518,10.745209,True,True
BA_N,bar,NO4,4,4,21.329678,21.190287,0.13939095,50.47299,49.65507,0.81791687,True,True
BA_N,bar,NO5,5,4,48.11295,46.658375,1.4545746,33.872986,33.003807,0.8691788,True,True
BA_N,bar,SE1,6,4,14.923773,14.978647,-0.05487442,15.3986845,15.341148,0.057536125,True,True
BA_N,bar,SE2,7,4,15.602656,15.659074,-0.056417465,15.940303,15.844701,0.095602036,True,True
BA_N,bar,SE3,8,4,54.26806,54.01768,0.25037766,39.950718,39.753254,0.19746399,True,True
BA_N,bar,SE4,9,4,53.760536,53.520275,0.24026108,40.030518,39.836193,0.1943245,True,True
BA_N,bar,DK1,10,4,64.57957,64.34686,0.23270416,34.167667,34.23661,-0.06894302,True,True
BA_N,bar,DK2,11,4,55.75066,55.548347,0.20231247,38.766293,38.69502,0.0712738,True,True
BA_N,bar,FI,12,4,63.37344,63.31184,0.06159973,98.66699,98.665886,0.0011062622,True,True
BA_N,bar,NORDIC,13,4,51.686348,50.82737,0.8589783,56.180336,54.113,2.067337,False,False
BA_OWN,bar,NO,0,5,47.8767,45.9854,1.8913002,63.00853,59.48137,3.5271606,True,True
BA_OWN,bar,NO1,1,5,49.06947,47.80699,1.2624779,34.665104,34.54125,0.12385559,True,True
BA_OWN,bar,NO2,2,5,52.560318,51.241886,1.3184319,28.286335,27.622229,0.66410637,True,True
BA_OWN,bar,NO3,3,5,58.74212,53.80452,4.937599,116.39897,106.69184,9.70713,True,True
BA_OWN,bar,NO4,4,5,21.761724,21.645748,0.11597633,50.3084,51.521496,-1.2130966,True,True
BA_OWN,bar,NO5,5,5,48.28455,46.864555,1.4199944,34.619064,34.469707,0.14935684,True,True
BA_OWN,bar,SE1,6,5,15.3467245,15.172273,0.17445183,15.794913,16.355799,-0.5608854,True,True
BA_OWN,bar,SE2,7,5,16.01478,15.819157,0.1956234,16.320946,16.857437,-0.5364914,True,True
BA_OWN,bar,SE3,8,5,54.334232,54.135128,0.19910431,40.102806,40.291916,-0.1891098,True,True
BA_OWN,bar,SE4,9,5,53.831543,53.63739,0.19415283,40.179073,40.37054,-0.19146729,True,True
BA_OWN,bar,DK1,10,5,63.900517,63.764286,0.13623047,34.736347,34.73812,-0.0017738342,True,True
