Area,BASELINE,BA_N,BA_OW,BA_OWN,LLPS_N,LLPS_OW,LLPS_OWN
NO1,2422.925,2443.0203,2432.8506,2443.069,2442.9878,2433.7195,2445.1506
NO2,406.582,424.2971,479.29422,434.7263,424.66763,477.86343,434.95166
NO3,281.103,258.78864,255.60481,258.5089,259.45264,257.12775,259.43573
NO4,446.05887,423.8456,418.7791,423.69644,427.89093,421.7153,425.8173
NO5,116.554535,118.533356,117.546234,118.43096,118.65474,117.549644,118.39175
TOTAL,3673.2234,3668.485,3704.0747,3678.4316,3673.6538,3707.9756,3683.7473
