scenario,area,technology,generation_gwh,curtailed_gwh,revenue_meur,opex_meur,net_revenue_meur,capacity_factor,value_factor,revenue_per_mwh,breakeven_capex_eur_per_kw,construction_years,gross_generation_gwh,generation_twh
LMR2000-BA,NO1,Nuclear,14860.569,143.81871,664.78174,392.319,272.46274,0.85053617,1.1073961,44.734608,2026.079,5,,14.860569
LMR2000-BA,NO2,Nuclear,15273.775,446.07037,710.2636,403.22766,307.03595,0.87418586,1.0565325,46.502167,2283.1714,5,,15.273775
LMR2000-LLPS,NO1,Nuclear,14739.132,268.9923,735.13385,389.1131,346.02075,0.8435858,1.1247363,49.876335,2573.0688,5,,14.739132
LMR2000-LLPS,NO2,Nuclear,15241.457,543.62366,756.56573,402.37445,354.19128,0.87233615,1.0624061,49.638676,2633.8267,5,,15.241457
LMR3000-BA,NO1,Nuclear,21568.559,357.99182,484.78662,569.4099,-84.62329,0.8229762,1.135437,22.476543,-419.51547,5,,21.568558
LMR3000-BA,NO2,Nuclear,22284.09,723.5912,511.7083,588.3,-76.591675,0.85027814,1.0849358,22.962944,-379.69913,5,,22.28409
LMR3000-LLPS,NO1,Nuclear,21450.865,544.91785,576.7115,566.30286,10.40863,0.8184854,1.153856,26.885233,51.600227,5,,21.450865
LMR3000-LLPS,NO2,Nuclear,22264.95,786.9069,598.9104,587.7947,11.115723,0.84954786,1.0954669,26.899248,55.105595,5,,22.26495
LMR4000-BA,NO1,Nuclear,26395.432,699.27893,330.13397,696.8394,-366.70544,0.75536376,1.1589795,12.507239,-1363.4418,5,,26.395432
LMR4000-BA,NO2,Nuclear,27129.87,976.97974,347.38913,716.2285,-368.8394,0.77638143,1.120843,12.804674,-1371.3763,5,,27.12987
LMR4000-LLPS,NO1,Nuclear,26634.25,988.1749,403.27884,703.14417,-299.86533,0.7621981,1.1858532,15.141363,-1114.9247,5,,26.63425
LMR4000-LLPS,NO2,Nuclear,27446.793,1077.2495,418.32153,724.59534,-306.2738,0.7854508,1.1386398,15.24118,-1138.7521,5,,27.446793
