Area,BASELINE,BA_N,BA_OW,BA_OWN,LLPS_N,LLPS_OW,LLPS_OWN
NO1,10277.371,10283.613,10277.912,10281.137,10281.73,10275.293,10278.158
NO2,6145.5894,6137.525,6093.861,6126.567,6135.7607,6094.1616,6125.8926
NO3,1906.2241,1913.9088,1915.0911,1913.8424,1912.9485,1913.981,1913.0455
NO4,3149.1333,3172.2312,3177.202,3172.6443,3168.6838,3174.5635,3170.5952
NO5,1029.9304,1029.3813,1030.2974,1029.3513,1028.8525,1029.7437,1028.9152
TOTAL,22508.248,22536.658,22494.363,22523.541,22527.977,22487.744,22516.607
