area,mean_price_eur_mwh,load_weighted_price_eur_mwh,price_std_eur_mwh,price_load_sum,price_sq_load_sum,load_twh,generation_twh,consumer_surplus_meur,producer_surplus_meur,societal_surplus_meur,scenario,scenario_folder,load_mode,case,hydro_uprated,is_baseline,baseline,delta_mean_price_eur_mwh,delta_pct_mean_price_eur_mwh,delta_price_std_eur_mwh,delta_pct_price_std_eur_mwh,delta_load_twh,delta_pct_load_twh,delta_generation_twh,delta_pct_generation_twh,delta_consumer_surplus_meur,delta_pct_consumer_surplus_meur,delta_producer_surplus_meur,delta_pct_producer_surplus_meur,delta_societal_surplus_meur,delta_pct_societal_surplus_meur
DK1,70.4660947838022,71.47151848303164,33.00954696568487,1604531082.5547664,139140401990.55524,22.449936934468585,37.14303174764132,20845.405851913823,2099.5503937609888,22944.956245674814,B23-BA,BASELINE_23TWh_BA_FalseHYD_FalseFF_BALOAD_22.91TWH_NoneNUKE_NoneOFF,BA,BASELINE_23TWh,False,True,B23-BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK1,70.44897388923278,71.51511546616051,33.367646641171845,1605509832.0765426,139813977267.06607,22.449936934468585,37.16157773931743,20844.427102392045,2099.440589680209,22943.867692072254,B23-LLPS,BASELINE_23TWh_LLPS_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_NoneNUKE_NoneOFF,LLPS,BASELINE_23TWh,False,True,B23-LLPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK1,63.17249337752559,64.57956750586916,34.694350889670304,1449807217.7620196,120650866911.17316,22.449936934468585,36.9197104864081,21000.129716706564,1733.3055838878674,22733.435300594432,N-BA,BA_N_FalseHYD_FalseFF_BALOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,BA,N,False,False,B23-BA,-7.293601406276615,-10.350511730008868,1.6848039239854344,5.103989841898997,0.0,0.0,-0.22332126123321672,-0.6012467230745057,154.72386479274064,0.7422444345382481,-366.2448098731213,-17.443963762977646,-211.52094508038135,-0.9218624904558431
DK1,62.38586877304006,63.90051667176043,35.19600192612586,1434562569.3609803,119479340740.226,22.449936934468585,36.78976142626678,21015.374365107607,1691.7126968988991,22707.087062006507,OWN-BA,BA_OWN_FalseHYD_FalseFF_BALOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,BA,OWN,False,False,B23-BA,-8.080226010762146,-11.466828175384455,2.18645496044099,6.623704841250694,0.0,0.0,-0.35327032137453784,-0.9511079326392667,169.96851319378402,0.8153763683050534,-407.8376968620896,-19.425001565764635,-237.8691836683065,-1.03669486714818
DK1,60.99436233086825,62.67976923585572,36.073828965394654,1407156866.4120054,117414845105.08641,22.449936934468585,36.507321141686454,21042.780068056585,1621.96307519031,22664.743143246895,OW-BA,BA_OW_FalseHYD_FalseFF_BALOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,BA,OW,False,False,B23-BA,-9.471732452933956,-13.441545869675739,3.0642819997097845,9.283017434002545,0.0,0.0,-0.6357106059548627,-1.7115205088104637,197.37421614276172,0.9468475574182248,-477.5873185706787,-22.74712338364796,-280.2131024279188,-1.2212405176442196
DK1,63.18448507335048,64.67022538971223,34.964873847851464,1451842481.5369086,121336980362.81863,22.449936934468585,36.92924595673811,20998.09445293168,1735.0865058865495,22733.18095881823,N-LLPS,LLPS_N_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,LLPS,N,False,False,B23-LLPS,-7.264488815882295,-10.311702803939035,1.5972272066796194,4.786754138989306,0.0,0.0,-0.23233178257932252,-0.6251935378231062,153.66735053963566,0.7372107172089237,-364.3540837936596,-17.35481754447544,-210.68673325402415,-0.9182703460533914
DK1,62.49256495592733,64.07133987156014,35.440762528063466,1438397539.4234278,120358248115.91153,22.449936934468585,36.78449563348545,21011.539395045158,1698.0472287398275,22709.586623784984,OWN-LLPS,LLPS_OWN_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,LLPS,OWN,False,False,B23-LLPS,-7.956408933305447,-11.293860639922652,2.073115886891621,6.212952052583876,0.0,0.0,-0.3770821058319811,-1.014709624217659,167.1122926531134,0.8017120923123672,-401.3933609403816,-19.119062616652688,-234.2810682872696,-1.021105383937601
DK1,60.99093131002788,62.760486529607874,36.348589922839906,1408968964.566262,118088883159.40927,22.449936934468585,36.48278803061854,21040.967969902325,1623.549161621577,22664.517131523902,OW-LLPS,LLPS_OW_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,LLPS,OW,False,False,B23-LLPS,-9.458042579204893,-13.425380182365485,2.980943281668061,8.933633569440643,0.0,0.0,-0.6787897086988863,-1.8265901234347164,196.5408675102808,0.9428940720933815,-475.8914280586321,-22.667534885143894,-279.3505605483515,-1.217539101504124
DK1,62.94352344280763,64.34686534802539,34.748579690695415,1444583068.993912,120061878172.43063,22.449936934468585,36.90197324303019,21005.353865474674,1721.171514867932,22726.525380342606,N-BA+,BA_N_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,BA,N,True,False,B23-BA,-7.522571340994574,-10.675448049270585,1.7390327250105457,5.268272014815472,0.0,0.0,-0.2410585046111251,-0.6490006153750036,159.9480135608501,0.7673058260276818,-378.3788788930567,-18.021900308630126,-218.43086533220776,-0.9519776938924543
DK1,62.262249744176266,63.764289065394316,35.18530243049251,1431504268.1893272,119071997514.65605,22.449936934468585,36.782442323711635,21018.43266627926,1685.2312414689713,22703.663907748232,OWN-BA+,BA_OWN_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,BA,OWN,True,False,B23-BA,-8.20384503962594,-11.642258684543604,2.1757554648076436,6.591291504453102,0.0,0.0,-0.36058942392968163,-0.970813116117211,173.0268143654357,0.8300477121655564,-414.3191522920174,-19.73370839410217,-241.29233792658124,-1.051613850743627
