Area,BASELINE,BA_N,BA_OW,BA_OWN,LLPS_N,LLPS_OW,LLPS_OWN
NO1,0.0,0.8293783,0.40965104,0.83139354,0.82803816,0.4455125,0.9173039
NO2,0.0,4.3570766,17.883778,6.922168,4.4482126,17.531872,6.977598
NO3,0.0,-7.938144,-9.070763,-8.037654,-7.701931,-8.528991,-7.707946
NO4,0.0,-4.9798937,-6.11573,-5.0133357,-4.072991,-5.4574785,-4.537871
NO5,0.0,1.6977638,0.8508457,1.6099131,1.8019071,0.8537716,1.5762677
TOTAL,0.0,-0.12899518,0.8398977,0.14178969,0.011717771,0.9460954,0.28650382
